"entry","protein_families"
"Q9Y2B2","PIGL family"
"Q9Y2C2","Sulfotransferase 3 family"
"Q9Y2C3","Glycosyltransferase 31 family"
"Q9Y2C4","DNA/RNA non-specific endonuclease family"
"Q9Y2C5","Major facilitator superfamily, Sodium/anion cotransporter family"
"Q9Y2C9","Toll-like receptor family"
"Q9Y2D0","Alpha-carbonic anhydrase family"
"Q9Y2D1","BZIP family"
"Q9Y2D2","Nucleotide-sugar transporter family, SLC35A subfamily"
"Q9Y2D4","SEC15 family"
"Q9Y2D8","ADIP family"
"Q9Y2E5","Glycosyl hydrolase 38 family"
"Q9Y2E6","Deltex family"
"Q9Y2E8","Monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family"
"Q9Y2F5","ICE1 family"
"Q9Y2G0","EFR3 family"
"Q9Y2G1","MRF family"
"Q9Y2G3","Cation transport ATPase (P-type) (TC 3.A.3) family, Type IV subfamily"
"Q9Y2G5","Glycosyltransferase 68 family"
"Q9Y2G9","SBNO family"
"Q9Y2H0","SAPAP family"
"Q9Y2H1","Protein kinase superfamily, AGC Ser/Thr protein kinase family"
"Q9Y2H6","FNDC3 family"
"Q9Y2H9","Protein kinase superfamily, AGC Ser/Thr protein kinase family"
"Q9Y2J4","Angiomotin family"
"Q9Y2J8","Protein arginine deiminase family"
"Q9Y2K2","Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily"
"Q9Y2K3","TRAFAC class myosin-kinesin ATPase superfamily, Myosin family"
"Q9Y2K6","Peptidase C19 family, USP20/USP33 subfamily"
"Q9Y2K7","JHDM1 histone demethylase family"
"Q9Y2K9","WD repeat L(2)GL family"
"Q9Y2L1","RNR ribonuclease family"
"Q9Y2L5","TRS85 family"
"Q9Y2M0","FAN1 family"
"Q9Y2P0","Krueppel C2H2-type zinc-finger protein family"
"Q9Y2P4","ATP-dependent AMP-binding enzyme family"
"Q9Y2P5","ATP-dependent AMP-binding enzyme family"
"Q9Y2P7","Krueppel C2H2-type zinc-finger protein family"
"Q9Y2P8","RNA 3'-terminal cyclase family, Type 2 subfamily"
"Q9Y2Q0","Cation transport ATPase (P-type) (TC 3.A.3) family, Type IV subfamily"
"Q9Y2Q3","GST superfamily, Kappa family"
"Q9Y2Q5","GAMAD family"
"Q9Y2R0","COA3 family"
"Q9Y2R2","Protein-tyrosine phosphatase family, Non-receptor class 4 subfamily"
"Q9Y2R4","DEAD box helicase family, DDX52/ROK1 subfamily"
"Q9Y2R9","Universal ribosomal protein uS7 family"
"Q9Y2S2","3-hydroxyacyl-CoA dehydrogenase family"
"Q9Y2T2","Adaptor complexes medium subunit family"
"Q9Y2T3","Metallo-dependent hydrolases superfamily, ATZ/TRZ family"
"Q9Y2T6","G-protein coupled receptor 1 family"
"Q9Y2U5","Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily"
"Q9Y2V3","Paired homeobox family, Bicoid subfamily"
"Q9Y2V7","COG6 family"
"Q9Y2W1","BCLAF1/THRAP3 family"
"Q9Y2W3","Glycoside-pentoside-hexuronide (GPH) cation symporter transporter (TC 2.A.2) family"
"Q9Y2W6","Tdrkh family"
"Q9Y2W7","Recoverin family"
"Q9Y2X0","Mediator complex subunit 16 family"
"Q9Y2X3","NOP5/NOP56 family"
"Q9Y2X8","Ubiquitin-conjugating enzyme family"
"Q9Y2X9","Krueppel C2H2-type zinc-finger protein family"
"Q9Y2Y0","ARL2BP family"
"Q9Y2Y1","Archaeal RpoM/eukaryotic RPA12/RPB9/RPC11 RNA polymerase family"
"Q9Y2Y4","Krueppel C2H2-type zinc-finger protein family"
"Q9Y2Y6","TMEM98 family"
"Q9Y2Y9","Sp1 C2H2-type zinc-finger protein family"
"Q9Y2Z0","SGT1 family"
"Q9Y2Z2","MnmG family"
"Q9Y2Z4","Class-I aminoacyl-tRNA synthetase family"
"Q9Y2Z9","UbiH/COQ6 family"
"Q9Y303","Metallo-dependent hydrolases superfamily, NagA family"
"Q9Y305","Acyl coenzyme A hydrolase family"
"Q9Y314","NOSIP family"
"Q9Y315","DeoC/FbaB aldolase family, DeoC type 2 subfamily"
"Q9Y316","MEMO1 family"
"Q9Y324","UTP23/FCF1 family, FCF1 subfamily"
"Q9Y328","NSG family"
"Q9Y333","SnRNP Sm proteins family"
"Q9Y336","Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family"
"Q9Y337","Peptidase S1 family, Kallikrein subfamily"
"Q9Y342","MAL family"
"Q9Y345","Sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family, SLC6A5 subfamily"
"Q9Y371","Endophilin family"
"Q9Y375","CIA30 family"
"Q9Y376","Mo25 family"
"Q9Y383","Luc7 family"
"Q9Y385","Ubiquitin-conjugating enzyme family"
"Q9Y388","IST3 family"
"Q9Y394","Short-chain dehydrogenases/reductases (SDR) family"
"Q9Y397","DHHC palmitoyltransferase family, ERF2/ZDHHC9 subfamily"
"Q9Y399","Universal ribosomal protein uS2 family"
"Q9Y3A0","COQ4 family"
"Q9Y3A2","UTP11 family"
"Q9Y3A3","MOB1/phocein family"
"Q9Y3A4","RRP7 family"
"Q9Y3A5","SDO1/SBDS family"
"Q9Y3A6","EMP24/GP25L family"
"Q9Y3B2","CSL4 family"
"Q9Y3B3","EMP24/GP25L family"
"Q9Y3B4","SF3B6 family"
"Q9Y3B7","Universal ribosomal protein uL11 family"
"Q9Y3B8","Oligoribonuclease family"
"Q9Y3C0","CCDC53 family"
"Q9Y3C4","CGI121/TPRKB family"
"Q9Y3C6","Cyclophilin-type PPIase family, PPIL1 subfamily"
"Q9Y3C7","Mediator complex subunit 31 family"
"Q9Y3C8","Ubiquitin-conjugating enzyme family, UFC1 subfamily"
"Q9Y3D0","MIP18 family"
"Q9Y3D2","MsrB Met sulfoxide reductase family"
"Q9Y3D3","Bacterial ribosomal protein bS16 family"
"Q9Y3D6","FIS1 family"
"Q9Y3D7","TIM16/PAM16 family"
"Q9Y3D8","Adenylate kinase family, AK6 subfamily"
"Q9Y3D9","Mitochondrion-specific ribosomal protein mS23 family"
"Q9Y3E0","GOT1 family"
"Q9Y3E2","BolA/IbaG family"
"Q9Y3E5","PTH2 family"
"Q9Y3E7","SNF7 family"
"Q9Y3F4","WD repeat STRAP family"
"Q9Y3I0","RtcB family"
"Q9Y3L5","Small GTPase superfamily, Ras family"
"Q9Y3M2","Chibby family"
"Q9Y3M9","Krueppel C2H2-type zinc-finger protein family"
"Q9Y3Q0","Peptidase M28 family, M28B subfamily"
"Q9Y3Q3","EMP24/GP25L family"
"Q9Y3Q4","Potassium channel HCN family"
"Q9Y3Q8","TSC-22/Dip/Bun family"
"Q9Y3R4","Glycosyl hydrolase 33 family"
"Q9Y3R5","DOP1 family"
"Q9Y3S1","Protein kinase superfamily, Ser/Thr protein kinase family, WNK subfamily"
"Q9Y3S2","NOA36 family"
"Q9Y3T9","NOC2 family"
"Q9Y3U8","Eukaryotic ribosomal protein eL36 family"
"Q9Y3Z3","SAMHD1 family"
"Q9Y446","Beta-catenin family"
"Q9Y450","TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family"
"Q9Y462","Krueppel C2H2-type zinc-finger protein family"
"Q9Y463","Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MNB/DYRK subfamily"
"Q9Y466","Nuclear hormone receptor family, NR2 subfamily"
"Q9Y467","Sal C2H2-type zinc-finger protein family"
"Q9Y473","Krueppel C2H2-type zinc-finger protein family"
"Q9Y478","5'-AMP-activated protein kinase beta subunit family"
"Q9Y483","Polycomblike family"
"Q9Y484","WD repeat PROPPIN family"
"Q9Y487","V-ATPase 116 kDa subunit family"
"Q9Y496","TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, Kinesin II subfamily"
"Q9Y4A5","PI3/PI4-kinase family, TRA1 subfamily"
"Q9Y4A8","BZIP family, CNC subfamily"
"Q9Y4B4","SNF2/RAD54 helicase family"
"Q9Y4B5","SOGA family"
"Q9Y4B6","VPRBP/DCAF1 family"
"Q9Y4C0","Neurexin family"
"Q9Y4C1","JHDM2 histone demethylase family"
"Q9Y4C2","TCAF family"
"Q9Y4C5","Sulfotransferase 1 family, Gal/GlcNAc/GalNAc subfamily"
"Q9Y4C8","RRM MRD1 family"
"Q9Y4D1","Formin homology family"
"Q9Y4D2","AB hydrolase superfamily, Lipase family"
"Q9Y4D7","Plexin family"
"Q9Y4E1","FAM21 family"
"Q9Y4E5","Krueppel C2H2-type zinc-finger protein family"
"Q9Y4E8","Peptidase C19 family"
"Q9Y4F4","Crescerin family"
"Q9Y4F9","RIPOR family"
"Q9Y4G8","RAPGEF2 family"
"Q9Y4I1","TRAFAC class myosin-kinesin ATPase superfamily, Myosin family"
"Q9Y4J8","Dystrophin family, Dystrobrevin subfamily"
"Q9Y4K0","Lysyl oxidase family"
"Q9Y4K3","TNF receptor-associated factor family, A subfamily"
"Q9Y4K4","Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily"
"Q9Y4L1","Heat shock protein 70 family"
"Q9Y4P1","Peptidase C54 family"
"Q9Y4P8","WD repeat PROPPIN family"
"Q9Y4R8","TEL2 family"
"Q9Y4U1","MMACHC family"
"Q9Y4W2","LAS1 family"
"Q9Y4W6","AAA ATPase family"
"Q9Y4W6"," Peptidase M41 family"
"Q9Y4X3","Intercrine beta (chemokine CC) family"
"Q9Y4X4","Sp1 C2H2-type zinc-finger protein family"
"Q9Y4X5","RBR family, Ariadne subfamily"
"Q9Y4Y9","SnRNP Sm proteins family"
"Q9Y4Z0","SnRNP Sm proteins family"
"Q9Y512","SAM50/omp85 family"
"Q9Y535","Eukaryotic RPB7/RPC8 RNA polymerase subunit family"
"Q9Y547","IFT25 family"
"Q9Y548","YIP1 family"
"Q9Y561","LDLR family"
"Q9Y566","SHANK family"
"Q9Y570","AB hydrolase superfamily"
"Q9Y572","Protein kinase superfamily, TKL Ser/Thr protein kinase family"
"Q9Y574","Ankyrin SOCS box (ASB) family"
"Q9Y575","Ankyrin SOCS box (ASB) family"
"Q9Y576","Ankyrin SOCS box (ASB) family"
"Q9Y577","TRIM/RBCC family"
"Q9Y584","Tim17/Tim22/Tim23 family"
"Q9Y586","Mab-21 family"
"Q9Y587","Adaptor complexes small subunit family"
"Q9Y592","CEP83 family"
"Q9Y5A6","Krueppel C2H2-type zinc-finger protein family"
"Q9Y5A9","YTHDF family, YTHDF2 subfamily"
"Q9Y5B6","GCF family"
"Q9Y5B8","NDK family"
"Q9Y5B9","Peptidase M24 family, SPT16 subfamily"
"Q9Y5I7","Claudin family"
"Q9Y5J1","WD repeat UTP18 family"
"Q9Y5J3","HEY family"
"Q9Y5J5","PHLDA3 family"
"Q9Y5J6","Small Tim family"
"Q9Y5J7","Small Tim family"
"Q9Y5K1","TOP6A family"
"Q9Y5K2","Peptidase S1 family, Kallikrein subfamily"
"Q9Y5K3","Cytidylyltransferase family"
"Q9Y5K5","Peptidase C12 family"
"Q9Y5K8","V-ATPase D subunit family"
"Q9Y5L3","GDA1/CD39 NTPase family"
"Q9Y5L4","Small Tim family"
"Q9Y5N1","G-protein coupled receptor 1 family"
"Q9Y5N5","Eukaryotic/archaeal PrmC-related family"
"Q9Y5N6","ORC6 family"
"Q9Y5P6","Transferase hexapeptide repeat family"
"Q9Y5Q0","Fatty acid desaturase type 1 family"
"Q9Y5Q3","BZIP family, Maf subfamily"
"Q9Y5Q5","Peptidase S1 family"
"Q9Y5Q6","Insulin family"
"Q9Y5Q8","TFIIIC subunit 5 family"
"Q9Y5R2","Peptidase M10A family"
"Q9Y5R4","Protein N5-glutamine methyltransferase family"
"Q9Y5R5","DMRT family"
"Q9Y5R6","DMRT family"
"Q9Y5R8","TRAPP small subunits family, BET5 subfamily"
"Q9Y5S1","Transient receptor (TC 1.A.4) family, TrpV subfamily, TRPV2 sub-subfamily"
"Q9Y5S2","Protein kinase superfamily, AGC Ser/Thr protein kinase family, DMPK subfamily"
"Q9Y5S9","RBM8A family"
"Q9Y5T5","Peptidase C19 family, USP16 subfamily"
"Q9Y5U2","TSSC4 family"
"Q9Y5U4","INSIG family"
"Q9Y5U8","Mitochondrial pyruvate carrier (MPC) (TC 2.A.105) family"
"Q9Y5U9","YOS1 family"
"Q9Y5W3","Krueppel C2H2-type zinc-finger protein family"
"Q9Y5W7","Sorting nexin family"
"Q9Y5W8","Sorting nexin family"
"Q9Y5W9","Sorting nexin family"
"Q9Y5X0","Sorting nexin family"
"Q9Y5X1","Sorting nexin family"
"Q9Y5X2","Sorting nexin family"
"Q9Y5X3","Sorting nexin family"
"Q9Y5X4","Nuclear hormone receptor family, NR2 subfamily"
"Q9Y5X5","G-protein coupled receptor 1 family"
"Q9Y5X9","AB hydrolase superfamily, Lipase family"
"Q9Y5Y0","Major facilitator superfamily, Feline leukemia virus subgroup C receptor (TC 2.A.1.28.1) family"
"Q9Y5Y2","Mrp/NBP35 ATP-binding proteins family, NUBP2/CFD1 subfamily"
"Q9Y5Y4","G-protein coupled receptor 1 family"
"Q9Y5Y5","Peroxin-16 family"
"Q9Y5Y6","Peptidase S1 family"
"Q9Y5Y9","Sodium channel (TC 1.A.1.10) family, Nav1.8/SCN10A subfamily"
"Q9Y5Z0","Peptidase A1 family"
"Q9Y5Z4","HEBP family"
"Q9Y5Z6","Glycosyltransferase 31 family"
"Q9Y5Z9","UbiA prenyltransferase family"
"Q9Y600","Group II decarboxylase family"
"Q9Y603","ETS family"
"Q9Y605","MORF4 family-associated protein family"
"Q9Y606","TRNA pseudouridine synthase TruA family"
"Q9Y608","LRRFIP family"
"Q9Y613","Formin homology family"
"Q9Y615","Actin family"
"Q9Y616","Protein kinase superfamily, TKL Ser/Thr protein kinase family, Pelle subfamily"
"Q9Y617","Class-V pyridoxal-phosphate-dependent aminotransferase family, SerC subfamily"
"Q9Y618","N-CoR nuclear receptor corepressors family"
"Q9Y619","Mitochondrial carrier (TC 2.A.29) family"
"Q9Y620","SNF2/RAD54 helicase family"
"Q9Y623","TRAFAC class myosin-kinesin ATPase superfamily, Myosin family"
"Q9Y624","Immunoglobulin superfamily"
"Q9Y625","Glypican family"
"Q9Y646","Peptidase M28 family"
"Q9Y653","G-protein coupled receptor 2 family, LN-TM7 subfamily"
"Q9Y657","SPIN/STSY family"
"Q9Y662","Sulfotransferase 1 family"
"Q9Y663","Sulfotransferase 1 family"
"Q9Y666","SLC12A transporter family, K/Cl co-transporter subfamily"
"Q9Y672","ALG6/ALG8 glucosyltransferase family"
"Q9Y673","Glycosyltransferase 2 family"
"Q9Y676","Bacterial ribosomal protein bS18 family, Mitochondrion-specific ribosomal protein mS40 subfamily"
"Q9Y678","COPG family"
"Q9Y679","AUP1 family"
"Q9Y691","KCNMB (TC 8.A.14.1) family, KCNMB2 subfamily"
"Q9Y694","Major facilitator (TC 2.A.1) superfamily, Organic cation transporter (TC 2.A.1.19) family"
"Q9Y696","Chloride channel CLIC family"
"Q9Y697","Class-V pyridoxal-phosphate-dependent aminotransferase family, NifS/IscS subfamily"
"Q9Y698","PMP-22/EMP/MP20 family, CACNG subfamily"
"Q9Y6A1","Glycosyltransferase 39 family"
"Q9Y6A2","Cytochrome P450 family"
"Q9Y6A4","CFAP20 family"
"Q9Y6A5","TACC family"
"Q9Y6A9","SPCS1 family"
"Q9Y6B6","Small GTPase superfamily, SAR1 family"
"Q9Y6B7","Adaptor complexes large subunit family"
"Q9Y6C5","Patched family"
"Q9Y6C9","Mitochondrial carrier (TC 2.A.29) family"
"Q9Y6D0","Selenoprotein K family"
"Q9Y6D9","MAD1 family"
"Q9Y6E0","Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily"
"Q9Y6E2","BZW family"
"Q9Y6E7","Sirtuin family, Class II subfamily"
"Q9Y6F1","ARTD/PARP family"
"Q9Y6F9","Wnt family"
"Q9Y6G1","TMEM14 family"
"Q9Y6G3","Mitochondrion-specific ribosomal protein mL42 family"
"Q9Y6G5","COMM domain-containing protein 10 family"
"Q9Y6G9","Dynein light intermediate chain family"
"Q9Y6H3","Peptidase M76 family"
"Q9Y6H6","Potassium channel KCNE family"
"Q9Y6H8","Connexin family, Alpha-type (group II) subfamily"
"Q9Y6I3","Epsin family"
"Q9Y6I4","Peptidase C19 family, USP3 subfamily"
"Q9Y6J6","Potassium channel KCNE family"
"Q9Y6J8","Protein-tyrosine phosphatase family, Non-receptor class subfamily"
"Q9Y6J9","TAF6 family"
"Q9Y6K0","CDP-alcohol phosphatidyltransferase class-I family"
"Q9Y6K1","Class I-like SAM-binding methyltransferase superfamily, C5-methyltransferase family"
"Q9Y6K5","2-5A synthase family"
"Q9Y6K8","Adenylate kinase family"
"Q9Y6L6","Organo anion transporter (TC 2.A.60) family"
"Q9Y6M0","Peptidase S1 family"
"Q9Y6M1","RRM IMP/VICKZ family"
"Q9Y6M4","Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily"
"Q9Y6M5","Cation diffusion facilitator (CDF) transporter (TC 2.A.4) family, SLC30A subfamily"
"Q9Y6M7","Anion exchanger (TC 2.A.31) family"
"Q9Y6M9","Complex I LYR family"
"Q9Y6N1","COX11/CtaG family"
"Q9Y6N5","SQRD family"
"Q9Y6N7","Immunoglobulin superfamily, ROBO family"
"Q9Y6P5","Sestrin family"
"Q9Y6Q1","Peptidase C2 family"
"Q9Y6Q2","Stoned B family"
"Q9Y6Q5","Adaptor complexes medium subunit family"
"Q9Y6Q9","SRC/p160 nuclear receptor coactivator family"
"Q9Y6R1","Anion exchanger (TC 2.A.31) family"
"Q9Y6R4","Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily"
"Q9Y6R9","CCDC61 family"
"Q9Y6T7","Eukaryotic diacylglycerol kinase family"
"Q9Y6U3","Villin/gelsolin family"
"Q9Y6V7","DEAD box helicase family, DDX49/DBP8 subfamily"
"Q9Y6W3","Peptidase C2 family"
"Q9Y6W5","SCAR/WAVE family"
"Q9Y6W6","Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily"
"Q9Y6X1","RAMP4 family"
"Q9Y6X2","PIAS family"
"Q9Y6X3","SCC4/mau-2 family"
"Q9Y6X5","Nucleotide pyrophosphatase/phosphodiesterase family"
"Q9Y6X6","TRAFAC class myosin-kinesin ATPase superfamily, Myosin family"
"Q9Y6X6"," NYAP family"
"Q9Y6X8","ZHX family"
"Q9Y6Y0","BTB-kelch protein family"
"Q9Y6Y1","CAMTA family"
"Q9Y6Y8","PA-PLA1 family"
"Q9Y6Z7","COLEC10/COLEC11 family"
"W5XKT8","SPACA6 family"
"A0A024RBG1","Nudix hydrolase family, DIPP subfamily"
"A0A096LP01","SMIM26 family"
"A0A1B0GTQ4","MYMX family"
"A0A7P0TBJ1","HAPSTR1 family"
"A0A8I5KQE6","Universal ribosomal protein uS2 family"
"A0PJW6","TMEM223 family"
"A0PJX4","Shisa family"
"A0PJZ3","Glycosyltransferase 8 family"
"A1A5D9","BICDR family"
"A2A3K4","Protein-tyrosine phosphatase family, Non-receptor class PTPDC1 subfamily"
"A2RRD8","Krueppel C2H2-type zinc-finger protein family"
"A2RU54","HMX homeobox family"
"A2VDF0","RbsD / FucU family"
"A3KN83","SBNO family"
"A4D1S5","Small GTPase superfamily, Rab family"
"A4D2G3","G-protein coupled receptor 1 family"
"A4FU01","Protein-tyrosine phosphatase family, Non-receptor class myotubularin subfamily"
"A5D6W6","FIT family, FIT1 subfamily"
"A5PLN9","TRAPPC13 family"
"A6NC51","DRAM/TMEM150 family"
"A6NCE7","ATG8 family"
"A6NCL1","GEMC1 family"
"A6NCW0","Peptidase C19 family, USP17 subfamily"
"A6ND48","G-protein coupled receptor 1 family"
"A6NDP7","MAL family"
"A6NDU8","RIMOC1 family"
"A6NF83","NUPR family"
"A6NFD8","HEY family"
"A6NFK2","GRXCR2 family"
"A6NFR6","SPATA31 family"
"A6NGB9","Verprolin family"
"A6NGC4","TLCD family"
"A6NGY5","G-protein coupled receptor 1 family"
"A6NH00","G-protein coupled receptor 1 family"
"A6NHC0","Peptidase C2 family"
"A6NHN0","OTOL1 family"
"A6NHT5","HMX homeobox family"
"A6NI79","CCDC69 family"
"A6NJT0","Paired homeobox family, Unc-4 subfamily"
"A6NK97","Major facilitator (TC 2.A.1) superfamily, Organic cation transporter (TC 2.A.1.19) family"
"A6NKD9","CCDC85 family"
"A6NKF1","SAC3 family"
"A6NL88","Shisa family"
"A6NLJ0","C2CD4 family"
"A6NLW8","Paired homeobox family"
"A6NLX3","Speedy/Ringo family"
"A6NM10","MIP/aquaporin (TC 1.A.8) family, AQP11/AQP12 subfamily"
"A6NMB1","Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family"
"A6NMB9","AAA ATPase family"
"A6NMN3","FAM170 family"
"A6NMY6","Annexin family"
"A6NNA5","Paired homeobox family"
"A6NND4","G-protein coupled receptor 1 family"
"A6NNS2","Short-chain dehydrogenases/reductases (SDR) family"
"A6NNW6","Enolase family"
"A6ZKI3","FAM127 family"
"A7E2F4","GOLGA8 family"
"A7MBM2","Dispatched family"
"A8K979","ERI2 family"
"A8MPP1","DEAD box helicase family, DEAH subfamily, DDX11/CHL1 sub-subfamily"
"A8MQT2","GOLGA8 family"
"A8MUK1","Peptidase C19 family, USP17 subfamily"
"A8MWX3","WASH1 family"
"A8MWY0","ELAPOR family"
"A8MYP8","CIMAP family"
"B1AL88","NALF family"
"B2RU33","POTE family"
"B2RXH8","RRM HNRPC family, RALY subfamily"
"B3EWG3","FAM25 family"
"B4DJY2","CD225/Dispanin family"
"B4DS77","Shisa family, SHISA9 subfamily"
"B8ZZ34","Shisa family"
"B9EJG8","DRAM/TMEM150 family"
"G3V0H7","Organo anion transporter (TC 2.A.60) family"
"G9CGD6","CNKSR family"
"H3BRN8","PIERCE2 family"
"O00230","Somatostatin family"
"O00295","TUB family"
"O00398","G-protein coupled receptor 1 family"
"O00458","IFRD family"
"O14599","VCX/VCY family"
"O14602","EIF-1A family"
"O14626","G-protein coupled receptor 1 family"
"O14709","Krueppel C2H2-type zinc-finger protein family"
"O14718","G-protein coupled receptor 1 family, Opsin subfamily"
"O14841","Oxoprolinase family"
"O14957","UQCR11/QCR10 family"
"O15034","RIMBP family"
"O15069","NAC-alpha family"
"O15090","Krueppel C2H2-type zinc-finger protein family"
"O15218","G-protein coupled receptor 1 family"
"O15235","Universal ribosomal protein uS12 family"
"O15321","Nonaspanin (TM9SF) (TC 9.A.2) family"
"O15335","Small leucine-rich proteoglycan (SLRP) family, SLRP class IV subfamily"
"O15375","Major facilitator superfamily, Monocarboxylate porter (TC 2.A.1.13) family"
"O15403","Major facilitator superfamily, Monocarboxylate porter (TC 2.A.1.13) family"
"O43301","Heat shock protein 70 family"
"O43345","Krueppel C2H2-type zinc-finger protein family"
"O43347","Musashi family"
"O43555","GnRH family"
"O43657","Tetraspanin (TM4SF) family"
"O43677","Complex I NDUFC1 subunit family"
"O43692","CRISP family"
"O43736","ITM2 family"
"O43812","Paired homeobox family"
"O43930","Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily"
"O43934","Unc-93 family"
"O60224","SSX family"
"O60225","SSX family"
"O60234","Actin-binding proteins ADF family, GMF subfamily"
"O60262","G protein gamma family"
"O60299","LZTS3 family"
"O60361","NDK family"
"O60412","G-protein coupled receptor 1 family"
"O60422","CUT homeobox family"
"O60542","TGF-beta family, GDNF subfamily"
"O60676","Cystatin family"
"O60765","Krueppel C2H2-type zinc-finger protein family"
"O60774","FMO family"
"O60811","PRAME family"
"O71037","Beta type-B retroviral envelope protein family, HERV class-II K(HML-2) env subfamily"
"O75123","Krueppel C2H2-type zinc-finger protein family"
"O75153","CLU family"
"O75157","TSC-22/Dip/Bun family"
"O75310","UDP-glycosyltransferase family"
"O75335","Liprin family, Liprin-alpha subfamily"
"O75346","Krueppel C2H2-type zinc-finger protein family"
"O75352","MPDU1 (TC 2.A.43.3) family"
"O75388","G-protein coupled receptor 1 family"
"O75394","Bacterial ribosomal protein bL33 family"
"O75437","Krueppel C2H2-type zinc-finger protein family"
"O75459","GAGE family"
"O75493","Alpha-carbonic anhydrase family"
"O75541","Krueppel C2H2-type zinc-finger protein family"
"O75635","Serpin family, Ov-serpin subfamily"
"O75690","KRTAP type 5 family"
"O75711","SCRG1 family"
"O75715","Glutathione peroxidase family"
"O75764","TFS-II family"
"O75820","Krueppel C2H2-type zinc-finger protein family"
"O75830","Serpin family"
"O75954","Tetraspanin (TM4SF) family"
"O76001","G-protein coupled receptor 1 family"
"O76002","G-protein coupled receptor 1 family"
"O76009","Intermediate filament family"
"O76099","G-protein coupled receptor 1 family"
"O94903","Pyridoxal phosphate-binding protein YggS/PROSC family"
"O94988","FAM13 family"
"O95007","G-protein coupled receptor 1 family"
"O95025","Semaphorin family"
"O95076","Paired homeobox family"
"O95084","Peptidase S1 family"
"O95178","Complex I NDUFB2 subunit family"
"O95190","ODC antizyme family"
"O95222","G-protein coupled receptor 1 family"
"O95336","Glucosamine/galactosamine-6-phosphate isomerase family, 6-phosphogluconolactonase subfamily"
"O95371","G-protein coupled receptor 1 family"
"O95455","NAD(P)-dependent epimerase/dehydratase family, dTDP-glucose dehydratase subfamily"
"O95620","Dus family, Dus4 subfamily"
"O95661","Small GTPase superfamily, Di-Ras family"
"O95665","G-protein coupled receptor 1 family, Neurotensin receptor subfamily, NTSR2 sub-subfamily"
"O95755","Small GTPase superfamily, Rab family"
"O95757","Heat shock protein 70 family"
"O95780","Krueppel C2H2-type zinc-finger protein family"
"O95800","G-protein coupled receptor 1 family"
"O95838","G-protein coupled receptor 2 family"
"O95918","G-protein coupled receptor 1 family"
"P01566","Alpha/beta interferon family"
"P01569","Alpha/beta interferon family"
"P04808","Insulin family"
"P05013","Alpha/beta interferon family"
"P05015","Alpha/beta interferon family"
"P07311","Acylphosphatase family"
"P07316","Beta/gamma-crystallin family"
"P09001","Universal ribosomal protein uL3 family"
"P09093","Peptidase S1 family, Elastase subfamily"
"P09630","Antp homeobox family"
"P0C1H6","Histone H2B family"
"P0C645","G-protein coupled receptor 1 family"
"P0C7H8","KRTAP type 2 family"
"P0C7M4","Paired-like homeobox family, PEPP subfamily"
"P0C7M7","ATP-dependent AMP-binding enzyme family"
"P0C7U3","DHHC palmitoyltransferase family"
"P0C8F1","PATE family"
"P0CE72","Parvalbumin family"
"P0CG13","CTF8 family"
"P0CG29","GST superfamily, Theta family"
"P0CG38","POTE family"
"P0CG38"," Actin family"
"P0CG39","POTE family"
"P0CG39"," Actin family"
"P0CI25","TRIM/RBCC family"
"P0DJ07","PET100 family"
"P0DN77","G-protein coupled receptor 1 family, Opsin subfamily"
"P0DN78","G-protein coupled receptor 1 family, Opsin subfamily"
"P0DN87","Glycoprotein hormones subunit beta family"
"P0DTL6","ZFTRAF1 family"
"P0DUQ2","PRAME family"
"P10072","Krueppel C2H2-type zinc-finger protein family"
"P10266","Beta type-B retroviral polymerase family, HERV class-II K(HML-2) pol subfamily"
"P12872","Motilin family"
"P14621","Acylphosphatase family"
"P15088","Peptidase M14 family"
"P15621","Krueppel C2H2-type zinc-finger protein family"
"P16260","Mitochondrial carrier (TC 2.A.29) family"
"P17019","Krueppel C2H2-type zinc-finger protein family"
"P17025","Krueppel C2H2-type zinc-finger protein family"
"P17026","Krueppel C2H2-type zinc-finger protein family"
"P17029","Krueppel C2H2-type zinc-finger protein family"
"P17030","Krueppel C2H2-type zinc-finger protein family"
"P17031","Krueppel C2H2-type zinc-finger protein family"
"P17032","Krueppel C2H2-type zinc-finger protein family"
"P17035","Krueppel C2H2-type zinc-finger protein family"
"P17038","Krueppel C2H2-type zinc-finger protein family"
"P17039","Krueppel C2H2-type zinc-finger protein family"
